causa_de_muerte,sexo,periodo,muertes,poblacion,tasa_mortalidad,causa_muerte_cat
009-041  II.Tumores,Hombres,2020,52022,4007280,1298.1872991156097,II. Tumores
009-041  II.Tumores,Hombres,2021,52855,4073128,1297.6513382343987,II. Tumores
009-041  II.Tumores,Mujeres,1980,15362,2475332,620.6036200396552,II. Tumores
009-041  II.Tumores,Mujeres,1981,15287,2528137,604.674509332366,II. Tumores
009-041  II.Tumores,Mujeres,1982,15970,2584400,617.9383996285405,II. Tumores
009-041  II.Tumores,Mujeres,1983,16453,2629964,625.5979169296614,II. Tumores
009-041  II.Tumores,Mujeres,1984,17262,2681698,643.6966429478637,II. Tumores
009-041  II.Tumores,Mujeres,1985,18120,2739126,661.5248805640923,II. Tumores
009-041  II.Tumores,Mujeres,1986,18839,2801065,672.5656134363179,II. Tumores
009-041  II.Tumores,Mujeres,1987,19452,2878551,675.7566567345863,II. Tumores
009-041  II.Tumores,Mujeres,1988,20151,2958475,681.1279459856852,II. Tumores
009-041  II.Tumores,Mujeres,1989,20567,3032296,678.2649187282508,II. Tumores
009-041  II.Tumores,Mujeres,1990,21208,3109970,681.9358386093757,II. Tumores
009-041  II.Tumores,Mujeres,1991,21760,3186139,682.9582764593761,II. Tumores
009-041  II.Tumores,Mujeres,1992,22153,3262630,678.9921014641562,II. Tumores
009-041  II.Tumores,Mujeres,1993,23137,3343367,692.0269297387932,II. Tumores
009-041  II.Tumores,Mujeres,1994,23809,3427229,694.7011711210426,II. Tumores
009-041  II.Tumores,Mujeres,1995,24637,3513749,701.1599291810542,II. Tumores
009-041  II.Tumores,Mujeres,1996,24747,3597952,687.8079529688,II. Tumores
009-041  II.Tumores,Mujeres,1997,25308,3680634,687.5989299669568,II. Tumores
009-041  II.Tumores,Mujeres,1998,25916,3767437,687.894714629601,II. Tumores
009-041  II.Tumores,Mujeres,1999,26438,3840517,688.3969007297716,II. Tumores
009-041  II.Tumores,Mujeres,2000,27069,3912891,691.7902900949707,II. Tumores
009-041  II.Tumores,Mujeres,2001,27528,3994792,689.0972045603376,II. Tumores
009-041  II.Tumores,Mujeres,2002,27766,4065821,682.9125040182536,II. Tumores
009-041  II.Tumores,Mujeres,2003,28395,4118108,689.5156707886243,II. Tumores
009-041  II.Tumores,Mujeres,2004,28336,4139000,684.6098091326407,II. Tumores
009-041  II.Tumores,Mujeres,2005,28219,4180461,675.021247656658,II. Tumores
009-041  II.Tumores,Mujeres,2006,29058,4250166,683.6909428949364,II. Tumores
009-041  II.Tumores,Mujeres,2007,29238,4297068,680.4174381229248,II. Tumores
009-041  II.Tumores,Mujeres,2008,29587,4363318,678.0848886099982,II. Tumores
009-041  II.Tumores,Mujeres,2009,30114,4441642,677.9925081760305,II. Tumores
009-041  II.Tumores,Mujeres,2010,30894,4528679,682.1856881443794,II. Tumores
009-041  II.Tumores,Mujeres,2011,31831,4612933,690.0382034597077,II. Tumores
009-041  II.Tumores,Mujeres,2012,32139,4675622,687.3737868458999,II. Tumores
009-041  II.Tumores,Mujeres,2013,32602,4758563,685.122798626392,II. Tumores
009-041  II.Tumores,Mujeres,2014,32599,4839814,673.558942554404,II. Tumores
009-041  II.Tumores,Mujeres,2015,33027,4897557,674.356623108215,II. Tumores
009-041  II.Tumores,Mujeres,2016,33579,4960687,676.9022113267779,II. Tumores
009-041  II.Tumores,Mujeres,2017,33885,5022684,674.6392964399114,II. Tumores
009-041  II.Tumores,Mujeres,2018,33725,5091496,662.3789943073706,II. Tumores
009-041  II.Tumores,Mujeres,2019,34157,5173068,660.285153800414,II. Tumores
009-041  II.Tumores,Mujeres,2020,34548,5236250,659.7851515874911,II. Tumores
009-041  II.Tumores,Mujeres,2021,35035,5313145,659.4022937450418,II. Tumores
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1980,174,1703406,10.21482840849451,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1981,185,1731649,10.683458368295192,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1982,176,1763122,9.982292773840948,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1983,198,1786792,11.08131220645716,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1984,213,1816834,11.723690771969261,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1985,274,1854679,14.773445970973953,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1986,263,1906263,13.796627223001233,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1987,323,1973492,16.36692725382216,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1988,312,2039771,15.295834679481178,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1989,360,2102863,17.11951753395252,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1990,389,2165697,17.961884788130565,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1991,426,2229548,19.107011824818304,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1992,373,2294607,16.25550693430291,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1993,417,2361074,17.661454067089807,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1994,428,2430501,17.60953811580411,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1995,400,2501907,15.987804502725321,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1996,417,2573444,16.203966357923466,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1997,460,2643616,17.400409136576567,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1998,466,2715352,17.161679222435986,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,1999,384,2776465,13.830536311460795,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2000,379,2836940,13.359464775427044,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2001,330,2903761,11.364571671015625,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2002,395,2960774,13.341106075641031,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2003,398,3001136,13.26164492378886,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2004,426,3015259,14.128139572753119,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2005,441,3049867,14.459646928866078,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2006,403,3112155,12.9492265006081,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2007,419,3154365,13.283180608458437,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2008,429,3214073,13.347549977862979,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2009,473,3285475,14.39670062928496,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2010,518,3364111,15.397827241728944,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2011,506,3439265,14.712445827814955,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2012,534,3498769,15.26251090026235,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2013,552,3574425,15.443043286682475,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2014,657,3647967,18.010031340744035,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2015,723,3702295,19.528427637451905,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2016,663,3759232,17.636581088903263,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2017,724,3817681,18.964392258022606,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2018,742,3881154,19.11802520590525,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2019,757,3952736,19.15129166228152,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2020,758,4007280,18.91557365594618,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Hombres,2021,835,4073128,20.500215068124547,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1980,219,2475332,8.847298059411827,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1981,262,2528137,10.363362428539277,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1982,242,2584400,9.36387556105866,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1983,266,2629964,10.114206886482096,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1984,296,2681698,11.037782777926521,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1985,316,2739126,11.536526614693884,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1986,360,2801065,12.852254410376053,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1987,349,2878551,12.12415552130221,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1988,369,2958475,12.472642155164401,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1989,455,3032296,15.005131425164297,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1990,457,3109970,14.694675511339337,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1991,548,3186139,17.19950071230414,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1992,490,3262630,15.018558647471517,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1993,554,3343367,16.570122274940204,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1994,554,3427229,16.164662472218808,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1995,599,3513749,17.047318974690565,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1996,588,3597952,16.342630474225338,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1997,596,3680634,16.19286242533216,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1998,664,3767437,17.624714096081764,III. Sangre
"042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Mujeres,1999,574,3840517,14.94590441859781,III. Sangre
